Year,Output,Consumption,Investment,Capital
0,61.5572206672458,43.09005446707206,18.46716620017374,100.0
1,63.93520553113662,44.75464387179563,19.180561659340984,113.46716620017374
2,66.12928431652873,46.290499021570106,19.838785294958615,126.97436954950602
3,68.16303466768986,47.7141242673829,20.448910400306957,140.46443636698933
4,70.05549865327608,49.03884905729325,21.016649595982823,153.89012494894683
5,71.82232247262296,50.27562573083607,21.546696741786885,167.2122682974823
6,73.47655273196065,51.433586912372455,22.042965819588193,180.39835162439508
7,75.02920757846981,52.52044530492886,22.508762273540942,193.4213998627635
8,76.48969577496905,53.54278704247833,22.946908732490716,206.25909214316627
9,77.86613037818469,54.506291264729285,23.359839113455408,218.89304626849867
10,79.16556768286495,55.41589737800546,23.74967030485948,231.30823306852915
11,80.39419209619864,56.27593446733904,24.118257628859592,243.49249171996215
12,81.55746118530888,57.09022282971621,24.467238355592663,255.43612476282362
13,82.66022091338188,57.86215463936731,24.798066274014563,267.1315568802751
14,83.70679823550071,58.594758764850496,25.112039470650213,278.5730453102759
15,84.70107627292093,59.290753391044646,25.41032288187628,289.7564325154123
16,85.64655592029496,59.95258914420646,25.693966776088487,300.67893377151796
17,86.54640677139776,60.582484739978426,25.963922031419326,311.33895385903054
18,87.40350955037174,61.18245668526021,26.22105286511152,321.7359281974983
19,88.22049172499753,61.754344207498264,26.46614751749926,331.8701846527349
